fiber_type,resin_type,density_g_cm3,layer_count,curing_temperature_c,fiber_volume_fraction,void_content_pct,tensile_strength_mpa
Carbon,Vinyl Ester,1.83,13,159.1,0.45,3.43,1916.9
Carbon,Epoxy,1.93,22,80.8,0.51,0.66,3426.6
Carbon,Phenolic,1.82,16,119.6,0.44,1.5,2324.6
Glass,Phenolic,1.95,11,79.2,0.63,0.6,1044.2
Aramid,Polyester,2.09,8,138.1,0.7,2.09,1350.5
Aramid,Epoxy,2.08,10,126.2,0.59,3.11,1643.5
Basalt,Epoxy,1.72,11,69.4,0.48,2.63,1212.0
Basalt,Vinyl Ester,1.44,7,115.4,0.58,3.29,840.5
Basalt,Polyester,1.66,11,109.5,0.68,2.74,1053.8
Aramid,Epoxy,1.61,9,101.1,0.44,0.89,1820.9
Carbon,Epoxy,1.85,9,72.2,0.66,0.68,2608.8
Aramid,Polyester,2.19,10,146.5,0.49,1.64,1438.4
Aramid,Polyester,1.44,11,147.4,0.37,3.17,1153.1
Glass,Phenolic,1.84,24,150.0,0.47,0.83,1402.3
Basalt,Polyester,1.98,14,65.3,0.4,2.29,951.7
Carbon,Phenolic,1.87,19,120.1,0.54,1.71,2596.1
Aramid,Epoxy,1.58,11,145.0,0.4,0.59,2116.9
Aramid,Phenolic,2.02,13,108.2,0.69,2.52,1605.2
Basalt,Epoxy,1.51,7,137.4,0.69,1.58,1506.8
Basalt,Vinyl Ester,1.42,11,83.5,0.5,3.26,947.9
Aramid,Epoxy,1.77,11,115.5,0.44,0.66,2018.6
Glass,Vinyl Ester,1.41,20,148.5,0.55,1.24,1387.0
Aramid,Epoxy,2.11,18,134.6,0.7,3.5,2129.6
Basalt,Epoxy,1.7,12,108.3,0.45,3.04,1260.6
Carbon,Polyester,1.76,13,127.4,0.56,0.65,2478.8
Glass,Vinyl Ester,1.42,21,150.3,0.54,2.23,1315.4
Basalt,Polyester,1.61,10,127.4,0.39,1.86,951.0
Basalt,Phenolic,1.68,17,124.3,0.53,2.55,1324.6
Basalt,Phenolic,1.59,15,88.4,0.56,2.14,1307.3
Carbon,Phenolic,1.66,16,82.0,0.41,0.55,2341.0
Carbon,Polyester,1.81,17,104.4,0.45,3.19,1758.4
Aramid,Epoxy,1.47,22,139.8,0.57,0.89,2932.3
Basalt,Epoxy,1.44,24,91.5,0.68,3.05,1787.9
Glass,Polyester,1.54,21,89.1,0.63,1.97,1137.1
Basalt,Epoxy,2.01,19,117.1,0.52,1.99,1816.9
Glass,Vinyl Ester,2.0,16,131.2,0.61,2.0,1240.6
Aramid,Phenolic,1.49,20,84.7,0.69,2.89,1627.2
Basalt,Polyester,1.5,6,82.8,0.46,1.14,810.9
Basalt,Polyester,2.12,22,134.8,0.43,1.16,1543.0
Basalt,Epoxy,1.65,24,85.0,0.42,0.91,1926.1
Carbon,Phenolic,1.51,20,76.4,0.65,1.32,2672.7
Glass,Vinyl Ester,1.48,15,96.4,0.51,3.08,865.0
Basalt,Phenolic,1.66,7,87.7,0.44,1.2,940.8
Carbon,Phenolic,2.06,21,109.5,0.64,2.82,2374.1
Glass,Epoxy,1.51,15,109.0,0.38,2.28,1092.6
Glass,Epoxy,2.05,15,85.7,0.43,1.29,1249.3
Glass,Epoxy,1.49,24,80.7,0.67,1.15,1668.2
Carbon,Phenolic,1.74,22,130.9,0.38,2.72,2163.8
Aramid,Epoxy,1.6,17,153.8,0.7,0.88,2959.7
Basalt,Phenolic,2.0,23,140.9,0.66,0.53,2118.1
Carbon,Vinyl Ester,1.78,14,72.7,0.49,1.31,2193.9
Basalt,Phenolic,1.41,21,102.4,0.65,1.44,1671.2
Carbon,Phenolic,1.5,24,125.3,0.39,1.03,2812.2
Basalt,Polyester,1.79,19,78.7,0.66,0.52,1572.8
Aramid,Epoxy,1.81,14,159.3,0.49,2.37,2121.5
Basalt,Phenolic,1.81,22,97.8,0.36,2.68,1183.1
Glass,Polyester,1.5,21,113.1,0.4,0.92,1138.9
Glass,Vinyl Ester,1.63,6,81.1,0.45,2.03,624.1
Basalt,Vinyl Ester,2.05,10,89.7,0.46,3.15,947.4
Glass,Polyester,1.61,17,64.4,0.46,2.21,872.5
Glass,Epoxy,1.92,16,82.9,0.42,3.22,940.9
Aramid,Phenolic,1.51,11,125.5,0.39,1.26,1450.2
Carbon,Phenolic,1.94,11,63.9,0.36,1.82,1630.0
Glass,Phenolic,2.12,21,129.7,0.56,0.87,1355.7
Basalt,Polyester,1.5,17,69.8,0.53,2.66,1075.0
Aramid,Polyester,1.81,24,145.6,0.43,3.05,1642.9
Carbon,Epoxy,1.86,22,107.4,0.61,2.91,2994.2
Basalt,Vinyl Ester,1.54,16,94.3,0.61,2.38,1378.9
Carbon,Phenolic,2.17,10,66.2,0.61,0.57,2081.4
Carbon,Polyester,1.65,7,78.3,0.59,2.79,1337.7
Basalt,Epoxy,2.09,10,87.9,0.38,1.13,1351.3
Basalt,Vinyl Ester,1.74,12,79.0,0.65,2.61,1174.8
Aramid,Phenolic,1.49,13,130.7,0.38,1.71,1467.8
Aramid,Vinyl Ester,1.86,13,118.5,0.51,1.17,1838.6
Aramid,Vinyl Ester,1.95,10,112.0,0.42,2.14,1343.3
Glass,Vinyl Ester,1.56,20,93.2,0.35,1.1,1122.8
Carbon,Vinyl Ester,2.07,21,143.7,0.54,2.57,2692.1
Basalt,Polyester,1.93,18,67.7,0.56,1.07,1384.3
Basalt,Epoxy,2.09,9,151.6,0.52,1.7,1524.2
Aramid,Vinyl Ester,1.92,13,139.0,0.67,1.67,1968.6
Aramid,Epoxy,1.8,8,158.1,0.68,2.71,1721.5
Aramid,Epoxy,1.86,16,61.9,0.69,0.95,2370.1
Carbon,Polyester,1.62,24,81.7,0.55,1.54,2523.9
Carbon,Polyester,1.6,21,101.9,0.56,3.09,2046.5
Carbon,Polyester,1.41,6,62.6,0.4,2.38,1068.3
Basalt,Epoxy,2.13,20,125.3,0.48,2.52,1721.2
Glass,Vinyl Ester,1.58,10,116.2,0.51,2.47,862.2
Carbon,Polyester,2.11,24,107.4,0.61,3.14,2221.8
Basalt,Vinyl Ester,1.66,6,81.1,0.54,1.04,983.6
Carbon,Epoxy,1.91,14,72.1,0.46,2.19,2330.1
Basalt,Epoxy,2.04,20,157.0,0.61,1.25,2371.8
Glass,Epoxy,1.54,10,155.7,0.49,1.76,1259.5
Basalt,Phenolic,1.96,24,112.5,0.6,3.41,1282.5
Glass,Phenolic,2.06,17,90.3,0.62,1.39,1113.9
Glass,Polyester,1.6,16,78.6,0.46,1.96,848.1
Carbon,Epoxy,1.44,18,95.2,0.37,3.46,2123.3
Carbon,Epoxy,1.93,21,105.3,0.53,0.9,3525.1
Glass,Phenolic,2.0,22,88.6,0.44,2.78,929.1
Glass,Polyester,1.7,21,85.8,0.4,3.16,811.6
Glass,Vinyl Ester,1.81,11,123.6,0.58,1.37,1137.6
Carbon,Phenolic,1.53,24,147.3,0.49,1.01,3138.0
Aramid,Vinyl Ester,1.89,15,126.6,0.6,2.52,1752.1
Glass,Polyester,1.95,23,109.6,0.52,1.43,1180.8
Glass,Phenolic,2.02,9,151.8,0.62,3.43,790.3
Carbon,Vinyl Ester,1.51,12,85.8,0.38,1.45,1952.7
Carbon,Vinyl Ester,1.75,8,83.3,0.68,3.1,1629.6
Basalt,Vinyl Ester,1.5,9,141.3,0.38,0.71,1280.5
Carbon,Epoxy,1.85,20,74.7,0.55,3.43,2366.4
Aramid,Polyester,1.68,23,105.8,0.65,3.28,1590.2
Aramid,Polyester,1.46,24,122.9,0.65,2.15,1997.6
Glass,Phenolic,2.07,8,124.5,0.66,2.3,875.2
Carbon,Polyester,1.66,14,119.4,0.46,1.55,2158.2
Glass,Vinyl Ester,1.87,9,87.2,0.53,1.03,925.8
Basalt,Polyester,1.75,8,69.6,0.5,2.53,800.4
Carbon,Vinyl Ester,1.81,17,69.7,0.65,1.94,2435.7
Basalt,Phenolic,1.64,15,75.2,0.38,1.79,1136.2
Aramid,Phenolic,1.78,9,131.9,0.43,1.0,1443.6
Glass,Phenolic,1.42,18,77.2,0.48,1.08,1111.0
Aramid,Polyester,1.55,16,139.8,0.55,3.18,1497.9
Glass,Phenolic,1.76,20,146.0,0.62,1.24,1442.1
Aramid,Vinyl Ester,1.41,12,97.4,0.41,0.72,1634.3
Aramid,Epoxy,2.02,24,125.0,0.38,1.04,2472.2
Aramid,Epoxy,1.92,13,140.5,0.57,3.16,1855.9
Glass,Phenolic,1.82,13,62.0,0.59,3.3,760.1
Basalt,Polyester,1.43,18,74.8,0.36,2.39,1043.0
Carbon,Epoxy,1.73,23,73.2,0.39,1.22,2980.5
Aramid,Vinyl Ester,2.17,11,158.8,0.48,1.87,1627.8
Basalt,Vinyl Ester,2.16,6,127.7,0.56,2.66,879.1
Basalt,Vinyl Ester,2.08,21,72.9,0.51,1.32,1507.1
Glass,Vinyl Ester,2.19,17,104.4,0.36,0.62,1142.5
Glass,Vinyl Ester,1.89,9,154.4,0.41,1.27,985.8
Glass,Vinyl Ester,2.16,10,130.7,0.62,2.07,1021.6
Carbon,Polyester,2.06,7,138.5,0.51,1.98,1620.7
Basalt,Vinyl Ester,1.57,15,143.0,0.64,2.94,1383.7
Glass,Polyester,1.69,13,60.9,0.64,0.76,1001.4
Aramid,Phenolic,2.14,18,158.4,0.43,2.44,1773.4
Glass,Epoxy,2.12,7,138.9,0.54,0.59,1168.0
Basalt,Polyester,1.75,17,71.0,0.56,1.83,1225.3
Glass,Vinyl Ester,1.84,18,122.1,0.69,1.09,1444.7
Glass,Polyester,1.48,17,130.7,0.36,2.14,940.2
Glass,Phenolic,2.2,12,62.1,0.65,3.26,792.3
Aramid,Vinyl Ester,1.92,9,92.3,0.5,0.94,1450.6
Carbon,Polyester,1.68,10,158.5,0.64,3.48,1742.5
Glass,Epoxy,1.91,20,97.2,0.48,1.09,1476.7
Glass,Phenolic,1.99,13,137.3,0.44,0.62,1147.1
Aramid,Polyester,1.57,24,159.3,0.38,3.09,1560.4
Carbon,Vinyl Ester,1.82,23,140.5,0.4,1.76,2753.3
Basalt,Polyester,1.44,8,158.7,0.67,2.65,1102.2
Glass,Polyester,1.59,19,95.5,0.43,1.23,989.5
Glass,Polyester,2.16,9,94.6,0.51,2.75,703.0
Basalt,Epoxy,1.44,8,88.2,0.59,3.22,1060.3
Carbon,Polyester,1.7,9,77.0,0.52,1.91,1604.1
Glass,Phenolic,1.75,10,90.9,0.48,1.91,823.8
Aramid,Epoxy,1.77,16,105.2,0.53,3.45,1620.3
Basalt,Polyester,1.79,6,123.8,0.56,1.19,918.2
Glass,Epoxy,1.92,12,78.4,0.45,1.75,1101.6
Basalt,Vinyl Ester,1.82,19,135.5,0.41,2.2,1388.7
Carbon,Phenolic,1.49,15,135.9,0.56,1.54,2614.6
Basalt,Polyester,1.68,8,148.9,0.62,1.73,1181.5
Basalt,Phenolic,1.67,13,76.8,0.41,0.89,1214.2
Carbon,Epoxy,1.56,19,106.3,0.5,2.84,2679.5
Carbon,Epoxy,1.99,18,153.1,0.66,2.53,3320.7
Aramid,Phenolic,1.57,6,99.7,0.7,0.97,1305.3
Aramid,Epoxy,2.01,21,78.2,0.69,2.24,2282.8
Basalt,Phenolic,1.41,16,127.7,0.59,2.11,1432.8
Basalt,Epoxy,2.02,8,94.6,0.48,3.17,1034.6
Glass,Polyester,1.81,14,87.7,0.58,0.86,1057.4
Aramid,Phenolic,1.96,17,78.5,0.45,1.73,1555.1
Aramid,Phenolic,1.91,7,97.5,0.66,3.35,1020.6
Glass,Phenolic,1.73,10,81.8,0.54,1.61,906.7
Aramid,Phenolic,1.78,10,62.9,0.36,2.05,1002.2
Glass,Epoxy,2.19,18,109.0,0.49,1.01,1471.5
Glass,Phenolic,2.13,24,99.0,0.52,3.13,996.3
Carbon,Polyester,1.43,20,136.5,0.49,3.12,2074.4
Carbon,Vinyl Ester,1.42,6,90.7,0.55,3.3,1253.8
Basalt,Vinyl Ester,2.03,12,142.9,0.42,2.92,1124.5
Aramid,Vinyl Ester,1.55,13,86.9,0.45,0.87,1713.8
Glass,Polyester,1.68,6,110.6,0.54,1.91,696.9
Carbon,Phenolic,1.44,16,65.3,0.54,1.42,2179.2
Basalt,Epoxy,2.12,7,139.3,0.49,3.45,1023.6
Basalt,Polyester,1.7,10,87.4,0.59,0.96,1185.9
Carbon,Epoxy,1.49,14,127.7,0.54,0.56,3371.5
Basalt,Phenolic,2.11,23,70.3,0.5,1.51,1461.2
Basalt,Phenolic,2.08,20,105.7,0.54,0.82,1676.5
Basalt,Phenolic,1.6,22,147.3,0.46,0.98,1768.7
Carbon,Epoxy,1.8,18,117.1,0.66,0.55,3916.2
Basalt,Polyester,2.14,12,110.8,0.54,2.64,1018.4
Glass,Polyester,2.16,12,128.0,0.69,2.99,887.6
Carbon,Vinyl Ester,1.99,9,156.0,0.69,2.38,2192.9
Carbon,Epoxy,2.15,18,113.8,0.38,3.28,2293.1
Aramid,Epoxy,1.69,16,114.1,0.43,3.42,1654.3
Aramid,Epoxy,1.55,24,154.0,0.4,0.71,2815.2
Glass,Epoxy,1.63,10,73.1,0.47,2.53,918.5
Basalt,Phenolic,2.0,9,93.5,0.35,1.42,968.2
Carbon,Epoxy,1.71,14,140.4,0.51,2.06,2875.1
Glass,Phenolic,1.75,16,153.1,0.61,2.19,1214.3
Aramid,Phenolic,1.93,21,83.0,0.55,2.89,1524.3
Glass,Vinyl Ester,1.88,20,66.7,0.6,2.61,1064.0
Glass,Epoxy,2.11,24,146.2,0.53,2.55,1554.1
Aramid,Phenolic,1.86,21,75.1,0.45,1.2,1758.6
Basalt,Polyester,1.99,24,136.3,0.36,2.08,1356.1
Aramid,Epoxy,1.56,15,128.6,0.36,2.96,1665.5
Glass,Epoxy,1.86,14,154.1,0.52,0.76,1569.7
Basalt,Vinyl Ester,1.62,19,106.8,0.38,2.87,1225.6
Aramid,Polyester,1.45,15,99.6,0.56,3.26,1270.2
Carbon,Phenolic,1.55,13,62.9,0.45,2.14,1749.7
Carbon,Polyester,1.84,19,85.8,0.54,2.72,1941.9
Aramid,Epoxy,2.02,18,127.4,0.56,2.23,2302.9
Aramid,Phenolic,1.6,9,86.6,0.68,1.87,1385.3
Carbon,Epoxy,1.8,19,98.6,0.67,2.46,3041.8
Carbon,Polyester,2.07,24,95.6,0.43,1.17,2494.4
Glass,Epoxy,1.81,10,105.2,0.46,2.21,1012.6
Glass,Phenolic,2.03,11,131.6,0.66,3.01,848.7
Basalt,Phenolic,2.01,20,153.9,0.56,0.98,1895.4
Carbon,Vinyl Ester,2.09,6,101.1,0.56,3.5,1218.4
Basalt,Polyester,1.43,7,123.8,0.65,1.58,1051.8
Glass,Vinyl Ester,1.67,16,114.6,0.64,1.01,1353.5
Basalt,Epoxy,1.87,8,118.0,0.43,1.7,1254.8
Carbon,Epoxy,1.92,8,64.4,0.63,1.69,2192.6
Basalt,Vinyl Ester,1.61,6,80.3,0.37,1.01,849.7
Aramid,Polyester,1.77,9,63.2,0.6,2.99,1042.6
Carbon,Vinyl Ester,1.7,6,152.5,0.39,2.13,1535.5
Glass,Vinyl Ester,1.62,9,108.8,0.48,2.44,796.3
Aramid,Polyester,1.71,12,146.9,0.5,2.1,1506.8
Aramid,Vinyl Ester,1.53,8,131.7,0.55,0.93,1523.8
Aramid,Polyester,2.1,24,114.0,0.37,2.73,1460.6
Basalt,Polyester,1.43,21,127.1,0.43,1.82,1391.3
Carbon,Phenolic,1.95,18,129.6,0.52,1.6,2591.6
Aramid,Phenolic,1.8,17,62.8,0.68,2.07,1643.6
Basalt,Epoxy,1.71,13,98.4,0.39,1.23,1520.0
Carbon,Phenolic,2.05,11,104.7,0.55,2.32,1880.7
Carbon,Polyester,1.79,20,153.6,0.68,3.07,2446.6
Aramid,Phenolic,1.48,20,65.8,0.42,2.18,1458.9
Basalt,Epoxy,1.52,11,66.9,0.52,1.91,1313.4
Carbon,Polyester,2.14,10,149.4,0.37,2.29,1680.6
Basalt,Polyester,1.89,22,124.2,0.68,1.12,1799.7
Glass,Phenolic,1.99,6,158.5,0.67,0.59,948.7
Glass,Vinyl Ester,1.62,19,141.9,0.6,3.44,1078.5
Glass,Polyester,1.73,13,159.9,0.6,2.79,982.2
Glass,Epoxy,1.57,17,109.0,0.5,1.72,1372.4
Aramid,Epoxy,2.17,18,104.2,0.54,1.85,2158.6
Glass,Vinyl Ester,1.44,9,146.9,0.49,1.55,966.8
Aramid,Phenolic,1.79,12,90.5,0.68,2.64,1401.8
Aramid,Vinyl Ester,1.46,18,88.1,0.53,1.33,1848.0
Glass,Polyester,1.47,23,81.4,0.54,3.44,852.5
Carbon,Vinyl Ester,1.6,8,141.8,0.67,1.11,2341.1
Carbon,Phenolic,1.91,9,61.7,0.49,1.18,1738.6
Aramid,Epoxy,1.54,17,150.8,0.54,3.07,2017.6
Glass,Polyester,1.82,21,146.1,0.38,1.22,1191.3
Carbon,Epoxy,2.19,12,106.5,0.69,1.09,3151.8
Carbon,Polyester,1.41,24,102.3,0.53,2.16,2432.2
Glass,Vinyl Ester,1.97,12,78.9,0.63,1.28,1044.5
Glass,Vinyl Ester,1.62,21,92.7,0.55,1.45,1260.6
Carbon,Vinyl Ester,1.69,23,140.0,0.57,2.51,2801.4
Carbon,Phenolic,1.86,15,153.6,0.46,0.97,2655.2
Carbon,Vinyl Ester,1.73,8,155.4,0.67,1.2,2389.2
Basalt,Polyester,1.9,23,125.1,0.47,3.39,1186.9
Carbon,Polyester,1.99,6,100.2,0.52,3.42,1142.4
Basalt,Epoxy,1.92,9,149.4,0.65,1.22,1735.9
Glass,Epoxy,1.68,21,107.9,0.43,1.65,1405.4
Glass,Phenolic,1.46,21,153.1,0.65,0.7,1585.3
Aramid,Epoxy,1.59,16,118.6,0.62,2.74,2049.5
Glass,Phenolic,2.11,23,158.1,0.36,2.14,1103.8
Aramid,Polyester,1.91,6,151.3,0.51,1.48,1146.3
Glass,Vinyl Ester,1.41,20,95.5,0.47,1.51,1167.3
Aramid,Epoxy,1.46,18,73.8,0.58,3.44,1706.5
Carbon,Epoxy,1.57,15,111.3,0.54,1.93,2896.7
Glass,Phenolic,2.06,22,146.2,0.51,0.51,1526.0
Glass,Phenolic,1.55,23,139.1,0.45,3.01,1004.0
Aramid,Epoxy,2.14,9,80.1,0.66,1.47,1842.1
Glass,Vinyl Ester,2.07,16,150.3,0.64,2.65,1175.9
Glass,Epoxy,1.82,13,140.9,0.67,1.78,1450.1
Carbon,Polyester,2.04,18,108.8,0.43,0.85,2451.8
Aramid,Vinyl Ester,1.59,12,145.5,0.41,2.1,1546.1
Carbon,Vinyl Ester,1.5,15,148.3,0.46,2.58,2248.1
Basalt,Polyester,1.79,23,95.0,0.63,2.38,1431.8
Carbon,Epoxy,1.47,17,116.5,0.56,0.71,3536.4
Glass,Epoxy,2.18,18,132.5,0.51,0.68,1677.6
Basalt,Vinyl Ester,1.43,21,62.3,0.65,0.97,1766.5
Basalt,Vinyl Ester,1.67,8,103.8,0.48,2.2,1003.1
Carbon,Phenolic,2.19,6,79.4,0.52,3.1,1138.8
Glass,Phenolic,1.7,20,135.1,0.69,1.6,1384.3
Glass,Epoxy,2.13,10,65.5,0.62,2.34,991.7
Carbon,Vinyl Ester,1.99,18,78.3,0.56,1.13,2605.3
Glass,Vinyl Ester,1.98,7,60.7,0.41,1.49,691.5
Aramid,Epoxy,1.96,17,122.0,0.51,1.08,2431.4
Glass,Vinyl Ester,1.9,18,145.6,0.69,2.57,1284.2
Carbon,Epoxy,2.08,23,83.1,0.55,2.86,2764.7
Carbon,Phenolic,1.48,20,132.4,0.51,0.76,2959.6
Basalt,Epoxy,1.89,14,141.6,0.6,0.68,2109.0
Carbon,Vinyl Ester,2.03,23,131.0,0.53,2.04,2849.1
Glass,Phenolic,1.47,7,80.8,0.4,2.14,591.6
Aramid,Polyester,2.19,15,101.6,0.45,0.65,1697.4
Glass,Epoxy,1.91,7,84.2,0.41,1.68,856.1
Glass,Vinyl Ester,2.15,15,94.9,0.63,3.26,927.5
Carbon,Polyester,2.04,19,152.9,0.56,0.86,2975.1
Aramid,Epoxy,2.16,19,105.3,0.66,2.21,2325.5
Carbon,Phenolic,1.86,13,108.2,0.37,2.0,1895.0
Carbon,Polyester,2.13,6,80.6,0.54,0.83,1477.6
Basalt,Phenolic,1.49,17,125.7,0.56,2.63,1324.6
Glass,Epoxy,1.49,21,72.7,0.45,2.21,1200.5
Aramid,Polyester,1.49,21,140.1,0.44,1.13,1994.5
Basalt,Polyester,1.95,12,158.7,0.6,2.47,1258.6
Aramid,Epoxy,1.77,15,103.5,0.5,3.03,1738.2
Carbon,Vinyl Ester,1.98,10,107.5,0.6,1.51,2205.5
Glass,Phenolic,2.11,10,108.7,0.42,3.08,761.8
Basalt,Phenolic,1.91,24,143.4,0.61,1.88,1810.8
Carbon,Vinyl Ester,1.6,20,117.7,0.56,2.42,2553.6
Glass,Phenolic,1.72,6,83.7,0.62,1.22,705.4
Glass,Vinyl Ester,2.19,6,97.6,0.46,0.83,776.9
Basalt,Phenolic,1.7,21,147.4,0.53,0.93,1808.3
Carbon,Vinyl Ester,1.71,14,79.8,0.64,3.23,1999.7
Basalt,Vinyl Ester,1.64,19,151.5,0.46,2.96,1414.7
Basalt,Epoxy,2.14,14,121.5,0.54,2.85,1524.3
Carbon,Phenolic,1.92,15,88.5,0.53,3.06,1867.3
Glass,Epoxy,1.64,7,67.3,0.68,1.88,969.5
Carbon,Vinyl Ester,1.49,11,64.4,0.56,2.15,1902.7
Carbon,Polyester,1.46,19,152.2,0.37,1.94,2256.7
Glass,Vinyl Ester,1.71,13,100.5,0.41,1.58,945.4
Carbon,Vinyl Ester,1.86,18,135.1,0.47,1.78,2552.4
Carbon,Polyester,1.97,9,130.5,0.59,2.34,1796.6
Aramid,Polyester,1.58,22,105.7,0.64,1.44,1988.3
Aramid,Vinyl Ester,2.13,8,158.6,0.58,1.86,1546.0
Glass,Polyester,2.11,22,66.4,0.4,1.04,1031.5
Aramid,Phenolic,1.89,10,105.4,0.38,2.81,1100.4
Aramid,Polyester,1.59,12,63.3,0.7,0.8,1629.3
Basalt,Polyester,1.6,20,132.2,0.46,2.87,1200.3
Aramid,Phenolic,1.84,8,121.5,0.65,2.59,1255.4
Glass,Epoxy,1.92,22,87.6,0.55,1.85,1403.6
Basalt,Phenolic,2.06,17,133.2,0.47,2.49,1308.2
Basalt,Epoxy,1.98,23,98.2,0.67,1.33,2204.8
Basalt,Polyester,2.09,10,141.4,0.63,2.26,1140.3
Glass,Vinyl Ester,1.55,9,133.1,0.45,1.86,888.9
Aramid,Vinyl Ester,2.12,18,135.2,0.37,1.15,1904.9
Glass,Vinyl Ester,1.88,14,118.9,0.6,2.82,992.5
Carbon,Epoxy,1.93,12,85.2,0.49,0.92,2662.7
Carbon,Epoxy,1.64,18,62.4,0.52,0.75,3078.2
Basalt,Epoxy,1.85,11,157.4,0.53,0.63,1926.9
Basalt,Polyester,2.13,11,63.5,0.58,2.1,1033.9
Basalt,Phenolic,1.41,14,122.9,0.66,2.89,1275.0
Aramid,Phenolic,1.63,19,80.4,0.59,1.55,1828.5
Aramid,Vinyl Ester,1.8,19,108.6,0.61,2.71,1778.1
Carbon,Polyester,1.5,14,73.8,0.69,1.61,2182.7
Glass,Phenolic,1.44,21,74.4,0.42,1.24,1134.5
Basalt,Vinyl Ester,2.0,9,70.5,0.64,1.72,1151.2
Glass,Phenolic,2.02,10,152.8,0.43,1.77,865.2
Aramid,Epoxy,2.1,15,64.2,0.7,0.64,2382.2
Carbon,Vinyl Ester,1.51,6,157.4,0.48,2.2,1573.5
Carbon,Vinyl Ester,1.99,8,87.4,0.56,0.93,1987.3
Carbon,Polyester,1.94,18,137.2,0.68,0.85,2966.8
Glass,Vinyl Ester,1.66,8,141.0,0.62,1.95,916.7
Carbon,Epoxy,2.03,15,79.0,0.43,1.83,2501.4
Basalt,Vinyl Ester,1.61,7,98.1,0.6,3.15,926.6
Glass,Phenolic,1.77,11,121.5,0.65,1.56,1053.7
Aramid,Epoxy,2.17,18,116.7,0.46,1.16,2351.5
Basalt,Vinyl Ester,1.46,23,142.3,0.68,0.82,2234.1
Aramid,Vinyl Ester,1.85,10,135.1,0.69,3.38,1429.2
Glass,Phenolic,1.57,7,68.1,0.63,1.47,721.0
Carbon,Epoxy,1.89,19,101.2,0.43,3.0,2446.0
Carbon,Vinyl Ester,1.48,13,104.1,0.63,2.02,2337.9
Carbon,Vinyl Ester,2.0,8,85.6,0.44,3.38,1323.0
Basalt,Phenolic,2.02,7,98.2,0.63,2.25,930.7
Basalt,Vinyl Ester,1.49,14,116.2,0.41,2.71,1121.6
Aramid,Phenolic,2.2,11,94.2,0.67,0.65,1793.5
Glass,Vinyl Ester,1.42,15,96.1,0.64,1.63,1213.7
Carbon,Vinyl Ester,2.15,17,66.3,0.44,2.22,1965.0
Carbon,Phenolic,2.1,17,95.1,0.54,2.43,2175.1
Basalt,Epoxy,1.5,19,149.1,0.7,1.37,2365.4
Glass,Epoxy,1.79,11,124.5,0.68,1.34,1445.4
Aramid,Polyester,2.1,24,103.9,0.45,0.96,1932.0
Aramid,Phenolic,1.88,20,71.7,0.55,1.01,1839.7
Carbon,Phenolic,2.02,24,75.9,0.49,1.19,2644.6
Basalt,Phenolic,2.2,18,94.1,0.45,1.2,1429.9
Carbon,Vinyl Ester,1.7,9,115.3,0.54,2.65,1814.5
Carbon,Polyester,1.53,24,89.1,0.69,1.85,2669.0
Aramid,Vinyl Ester,1.52,6,71.2,0.51,1.08,1112.1
Basalt,Vinyl Ester,2.17,13,73.3,0.65,3.43,1070.1
Carbon,Epoxy,1.53,23,152.7,0.6,0.96,4208.0
Aramid,Vinyl Ester,1.45,18,85.3,0.42,2.13,1619.1
Aramid,Polyester,1.74,14,123.7,0.43,1.76,1535.2
Carbon,Phenolic,1.83,13,145.1,0.68,3.49,2062.6
Basalt,Phenolic,1.85,14,78.1,0.51,0.61,1329.9
Carbon,Polyester,2.11,10,86.8,0.39,1.65,1600.6
Glass,Epoxy,1.62,14,127.7,0.67,2.82,1305.4
Glass,Phenolic,1.52,19,136.5,0.62,2.81,1110.8
Basalt,Polyester,1.67,11,109.8,0.5,1.48,1165.3
Aramid,Vinyl Ester,1.5,11,158.1,0.63,3.08,1509.7
Basalt,Phenolic,1.44,22,155.3,0.43,1.91,1540.7
Aramid,Polyester,2.03,12,120.8,0.47,2.98,1196.1
Carbon,Polyester,1.91,10,156.2,0.65,0.68,2488.5
Glass,Epoxy,2.03,20,127.3,0.59,0.64,1765.8
Carbon,Epoxy,1.59,22,129.3,0.36,1.47,3137.4
Basalt,Vinyl Ester,2.0,24,103.9,0.63,3.27,1403.9
Carbon,Vinyl Ester,2.16,24,128.2,0.47,1.64,2900.1
Basalt,Phenolic,2.14,18,87.2,0.61,0.75,1654.0
Carbon,Epoxy,1.89,20,139.2,0.63,1.89,3602.1
Carbon,Phenolic,1.92,22,157.9,0.63,2.62,2792.9
Aramid,Epoxy,2.02,17,85.9,0.46,1.21,2116.6
Aramid,Phenolic,1.8,7,91.3,0.6,1.66,1209.2
Carbon,Phenolic,1.95,10,139.7,0.65,3.04,1916.8
Aramid,Epoxy,1.8,24,109.6,0.35,3.35,1747.8
Basalt,Epoxy,2.19,11,79.8,0.35,2.62,1133.8
Carbon,Epoxy,1.55,6,152.6,0.39,2.3,1814.2
Basalt,Epoxy,1.7,16,133.2,0.61,2.74,1708.3
Carbon,Polyester,1.82,23,135.0,0.41,0.54,2879.3
Basalt,Epoxy,2.11,17,111.5,0.69,0.67,2228.8
Aramid,Polyester,1.68,11,96.1,0.44,3.07,1073.0
Carbon,Epoxy,1.92,7,99.4,0.41,0.51,2161.5
